provider,principal_ref,email,last_activity
gcp,user:olivia.silva@gov.ae,olivia.silva@gov.ae,2026-07-21
aws,arn:aws:iam::111122223333:user/rashid.kumar,rashid.kumar@gov.ae,2026-07-07
azure,rashid.kumar@gov.ae,rashid.kumar@gov.ae,2026-07-07
gcp,user:rashid.kumar@gov.ae,rashid.kumar@gov.ae,2026-07-07
aws,arn:aws:iam::111122223333:user/dana.kumar,dana.kumar@gov.ae,2025-11-12
azure,dana.kumar@gov.ae,dana.kumar@gov.ae,2025-11-12
gcp,user:dana.kumar@gov.ae,dana.kumar@gov.ae,2025-11-12
azure,rashid.kumar2@gov.ae,rashid.kumar2@gov.ae,2026-03-20
gcp,user:rashid.kumar2@gov.ae,rashid.kumar2@gov.ae,2026-03-20
aws,arn:aws:iam::111122223333:user/james.sharma,james.sharma2@gov.ae,2026-06-25
azure,james.sharma2@gov.ae,james.sharma2@gov.ae,2026-06-25
gcp,user:james.sharma2@gov.ae,james.sharma2@gov.ae,2026-06-25
aws,arn:aws:iam::111122223333:user/huda.costa,huda.costa2@gov.ae,2026-06-27
azure,huda.costa2@gov.ae,huda.costa2@gov.ae,2026-06-27
aws,arn:aws:iam::111122223333:user/latifa.rahman,latifa.rahman@gov.ae,2026-07-30
gcp,user:latifa.rahman@gov.ae,latifa.rahman@gov.ae,2026-07-30
aws,arn:aws:iam::111122223333:user/liam.ibrahim,liam.ibrahim@gov.ae,2026-08-31
azure,liam.ibrahim@gov.ae,liam.ibrahim@gov.ae,2026-08-31
aws,arn:aws:iam::111122223333:user/majid.al.balushi,majid.albalushi@gov.ae,2026-08-27
azure,majid.albalushi@gov.ae,majid.albalushi@gov.ae,2026-08-27
gcp,user:majid.albalushi@gov.ae,majid.albalushi@gov.ae,2026-08-27
aws,arn:aws:iam::111122223333:user/khalid.qureshi,khalid.qureshi@gov.ae,2026-07-22
aws,arn:aws:iam::111122223333:user/wei.aziz,wei.aziz@gov.ae,2025-12-20
azure,wei.aziz@gov.ae,wei.aziz@gov.ae,2025-12-20
gcp,user:wei.aziz@gov.ae,wei.aziz@gov.ae,2025-12-20
azure,majid.alnuaimi@gov.ae,majid.alnuaimi@gov.ae,2026-08-09
gcp,user:majid.alnuaimi@gov.ae,majid.alnuaimi@gov.ae,2026-08-09
aws,arn:aws:iam::111122223333:user/hamdan.farah,hamdan.farah@gov.ae,2026-06-20
azure,hamdan.farah@gov.ae,hamdan.farah@gov.ae,2026-06-20
aws,arn:aws:iam::111122223333:user/nasser.johnson,nasser.johnson@gov.ae,2026-08-06
azure,nasser.johnson@gov.ae,nasser.johnson@gov.ae,2026-08-06
azure,huda.johnson@gov.ae,huda.johnson@gov.ae,2026-08-05
aws,arn:aws:iam::111122223333:user/saeed.khan,saeed.khan@gov.ae,2026-07-17
azure,saeed.khan@gov.ae,saeed.khan@gov.ae,2026-07-17
gcp,user:saeed.khan@gov.ae,saeed.khan@gov.ae,2026-07-17
aws,arn:aws:iam::111122223333:user/layla.qureshi,layla.qureshi@gov.ae,2026-07-15
azure,layla.qureshi@gov.ae,layla.qureshi@gov.ae,2026-07-15
gcp,user:layla.qureshi@gov.ae,layla.qureshi@gov.ae,2026-07-15
aws,arn:aws:iam::111122223333:user/ahmad.nassar,ahmad.nassar@gov.ae,2026-07-04
azure,ahmad.nassar@gov.ae,ahmad.nassar@gov.ae,2026-07-04
gcp,user:ahmad.nassar@gov.ae,ahmad.nassar@gov.ae,2026-07-04
azure,nasser.osman@gov.ae,nasser.osman@gov.ae,2026-01-01
aws,arn:aws:iam::111122223333:user/james.kumar,james.kumar@gov.ae,2026-08-01
azure,james.kumar@gov.ae,james.kumar@gov.ae,2026-08-01
gcp,user:james.kumar@gov.ae,james.kumar@gov.ae,2026-08-01
aws,arn:aws:iam::111122223333:user/mei.rahman,mei.rahman@gov.ae,2026-07-18
azure,mei.rahman@gov.ae,mei.rahman@gov.ae,2026-07-18
gcp,user:mei.rahman@gov.ae,mei.rahman@gov.ae,2026-07-18
aws,arn:aws:iam::111122223333:user/huda.sharma,huda.sharma@gov.ae,2026-08-08
azure,huda.sharma@gov.ae,huda.sharma@gov.ae,2026-08-08
gcp,user:huda.sharma@gov.ae,huda.sharma@gov.ae,2026-08-08
aws,arn:aws:iam::111122223333:user/james.qureshi,james.qureshi@gov.ae,2026-06-24
gcp,user:james.qureshi@gov.ae,james.qureshi@gov.ae,2026-06-24
aws,arn:aws:iam::111122223333:user/hamdan.chen,hamdan.chen3@gov.ae,2026-08-19
azure,hamdan.chen3@gov.ae,hamdan.chen3@gov.ae,2026-08-19
gcp,user:hamdan.chen3@gov.ae,hamdan.chen3@gov.ae,2026-08-19
aws,arn:aws:iam::111122223333:user/ahmad.patel,ahmad.patel@gov.ae,2026-07-31
azure,ahmad.patel@gov.ae,ahmad.patel@gov.ae,2026-07-31
gcp,user:ahmad.patel@gov.ae,ahmad.patel@gov.ae,2026-07-31
azure,emma.osman@gov.ae,emma.osman@gov.ae,2026-06-23
gcp,user:emma.osman@gov.ae,emma.osman@gov.ae,2026-06-23
gcp,user:saeed.kumar@gov.ae,saeed.kumar@gov.ae,2026-08-20
aws,arn:aws:iam::111122223333:user/nasser.patel,nasser.patel@gov.ae,2026-05-30
azure,nasser.patel@gov.ae,nasser.patel@gov.ae,2026-05-30
gcp,user:nasser.patel@gov.ae,nasser.patel@gov.ae,2026-05-30
aws,arn:aws:iam::111122223333:user/olivia.osman,olivia.osman@gov.ae,2026-08-06
azure,olivia.osman@gov.ae,olivia.osman@gov.ae,2026-08-06
gcp,user:olivia.osman@gov.ae,olivia.osman@gov.ae,2026-08-06
azure,majid.patel@gov.ae,majid.patel@gov.ae,2026-07-10
azure,emma.kamal@gov.ae,emma.kamal@gov.ae,2026-09-02
gcp,user:emma.kamal@gov.ae,emma.kamal@gov.ae,2026-09-02
aws,arn:aws:iam::111122223333:user/faisal.sharma,faisal.sharma@gov.ae,2026-09-08
azure,faisal.sharma@gov.ae,faisal.sharma@gov.ae,2026-09-08
gcp,user:faisal.sharma@gov.ae,faisal.sharma@gov.ae,2026-09-08
azure,saeed.almansoori2@gov.ae,saeed.almansoori2@gov.ae,2026-09-04
gcp,user:saeed.almansoori2@gov.ae,saeed.almansoori2@gov.ae,2026-09-04
aws,arn:aws:iam::111122223333:user/salma.al.suwaidi,salma.alsuwaidi@gov.ae,2026-01-28
azure,salma.alsuwaidi@gov.ae,salma.alsuwaidi@gov.ae,2026-01-28
gcp,user:salma.alsuwaidi@gov.ae,salma.alsuwaidi@gov.ae,2026-01-28
aws,arn:aws:iam::111122223333:user/bilal.al.nuaimi,bilal.alnuaimi@gov.ae,2026-07-19
azure,bilal.alnuaimi@gov.ae,bilal.alnuaimi@gov.ae,2026-07-19
gcp,user:bilal.alnuaimi@gov.ae,bilal.alnuaimi@gov.ae,2026-07-19
aws,arn:aws:iam::111122223333:user/priya.chen,priya.chen@gov.ae,2026-05-31
azure,priya.chen@gov.ae,priya.chen@gov.ae,2026-05-31
gcp,user:priya.chen@gov.ae,priya.chen@gov.ae,2026-05-31
aws,arn:aws:iam::111122223333:user/james.al.marri,james.almarri@gov.ae,2026-08-27
azure,james.almarri@gov.ae,james.almarri@gov.ae,2026-08-27
gcp,user:james.almarri@gov.ae,james.almarri@gov.ae,2026-08-27
aws,arn:aws:iam::111122223333:user/bilal.habib,bilal.habib@gov.ae,2026-08-02
azure,bilal.habib@gov.ae,bilal.habib@gov.ae,2026-08-02
gcp,user:bilal.habib@gov.ae,bilal.habib@gov.ae,2026-08-02
aws,arn:aws:iam::111122223333:user/tariq.haddad,tariq.haddad@gov.ae,2026-08-30
azure,tariq.haddad@gov.ae,tariq.haddad@gov.ae,2026-08-30
gcp,user:tariq.haddad@gov.ae,tariq.haddad@gov.ae,2026-08-30
aws,arn:aws:iam::111122223333:user/latifa.wang,latifa.wang@gov.ae,2026-08-27
azure,latifa.wang@gov.ae,latifa.wang@gov.ae,2026-08-27
gcp,user:latifa.wang@gov.ae,latifa.wang@gov.ae,2026-08-27
aws,arn:aws:iam::111122223333:user/noah.al.marri,noah.almarri@gov.ae,2026-08-05
azure,noah.almarri@gov.ae,noah.almarri@gov.ae,2026-08-05
gcp,user:noah.almarri@gov.ae,noah.almarri@gov.ae,2026-08-05
azure,mariam.smith@gov.ae,mariam.smith@gov.ae,2026-08-23
azure,aisha.haddad@gov.ae,aisha.haddad@gov.ae,2026-07-03
gcp,user:aisha.haddad@gov.ae,aisha.haddad@gov.ae,2026-07-03
aws,arn:aws:iam::111122223333:user/dana.patel,dana.patel2@gov.ae,2026-07-06
azure,dana.patel2@gov.ae,dana.patel2@gov.ae,2026-07-06
gcp,user:dana.patel2@gov.ae,dana.patel2@gov.ae,2026-07-06
azure,mariam.kamal@gov.ae,mariam.kamal@gov.ae,2026-08-29
gcp,user:mariam.kamal@gov.ae,mariam.kamal@gov.ae,2026-08-29
aws,arn:aws:iam::111122223333:user/tariq.smith,tariq.smith@gov.ae,2026-06-29
azure,tariq.smith@gov.ae,tariq.smith@gov.ae,2026-06-29
gcp,user:tariq.smith@gov.ae,tariq.smith@gov.ae,2026-06-29
aws,arn:aws:iam::111122223333:user/fatima.sharma,fatima.sharma@gov.ae,2026-08-27
azure,fatima.sharma@gov.ae,fatima.sharma@gov.ae,2026-08-27
gcp,user:fatima.sharma@gov.ae,fatima.sharma@gov.ae,2026-08-27
aws,arn:aws:iam::111122223333:user/reem.al.mansoori,reem.almansoori@gov.ae,2026-07-20
gcp,user:reem.almansoori@gov.ae,reem.almansoori@gov.ae,2026-07-20
aws,arn:aws:iam::111122223333:user/wafa.chen,wafa.chen@gov.ae,2026-06-25
azure,wafa.chen@gov.ae,wafa.chen@gov.ae,2026-06-25
aws,arn:aws:iam::111122223333:user/wei.wang,wei.wang@gov.ae,2026-08-26
azure,wei.wang@gov.ae,wei.wang@gov.ae,2026-08-26
gcp,user:wei.wang@gov.ae,wei.wang@gov.ae,2026-08-26
aws,arn:aws:iam::111122223333:user/khalid.zaman,khalid.zaman@gov.ae,2026-07-05
azure,khalid.zaman@gov.ae,khalid.zaman@gov.ae,2026-07-05
gcp,user:khalid.zaman@gov.ae,khalid.zaman@gov.ae,2026-07-05
aws,arn:aws:iam::111122223333:user/zayed.ibrahim,zayed.ibrahim@gov.ae,2026-03-07
azure,zayed.ibrahim@gov.ae,zayed.ibrahim@gov.ae,2026-03-07
gcp,user:zayed.ibrahim@gov.ae,zayed.ibrahim@gov.ae,2026-03-07
aws,arn:aws:iam::111122223333:user/huda.silva,huda.silva@gov.ae,2026-08-07
azure,huda.silva@gov.ae,huda.silva@gov.ae,2026-08-07
aws,arn:aws:iam::111122223333:user/omar.farah,omar.farah@gov.ae,2026-07-21
gcp,user:omar.farah@gov.ae,omar.farah@gov.ae,2026-07-21
azure,liam.smith@gov.ae,liam.smith@gov.ae,2026-09-02
gcp,user:liam.smith@gov.ae,liam.smith@gov.ae,2026-09-02
aws,arn:aws:iam::111122223333:user/shaikha.farah,shaikha.farah@gov.ae,2026-07-22
gcp,user:shaikha.farah@gov.ae,shaikha.farah@gov.ae,2026-07-22
aws,arn:aws:iam::111122223333:user/emma.smith,emma.smith@gov.ae,2026-08-20
azure,emma.smith@gov.ae,emma.smith@gov.ae,2026-08-20
azure,james.osman@gov.ae,james.osman@gov.ae,2026-08-16
gcp,user:james.osman@gov.ae,james.osman@gov.ae,2026-08-16
aws,arn:aws:iam::111122223333:user/nasser.silva,nasser.silva@gov.ae,2026-07-24
gcp,user:nasser.silva@gov.ae,nasser.silva@gov.ae,2026-07-24
aws,arn:aws:iam::111122223333:user/adel.sharma,adel.sharma@gov.ae,2026-06-21
azure,adel.sharma@gov.ae,adel.sharma@gov.ae,2026-06-21
gcp,user:adel.sharma@gov.ae,adel.sharma@gov.ae,2026-06-21
aws,arn:aws:iam::111122223333:user/dana.al.marri,dana.almarri@gov.ae,2026-08-15
azure,dana.almarri@gov.ae,dana.almarri@gov.ae,2026-08-15
gcp,user:dana.almarri@gov.ae,dana.almarri@gov.ae,2026-08-15
aws,arn:aws:iam::111122223333:user/salma.farah,salma.farah@gov.ae,2026-07-15
azure,salma.farah@gov.ae,salma.farah@gov.ae,2026-07-15
gcp,user:salma.farah@gov.ae,salma.farah@gov.ae,2026-07-15
aws,arn:aws:iam::111122223333:user/amal.habib,amal.habib@gov.ae,2026-08-06
gcp,user:amal.habib@gov.ae,amal.habib@gov.ae,2026-08-06
aws,arn:aws:iam::111122223333:user/reem.wang,reem.wang@gov.ae,2025-12-03
gcp,user:reem.wang@gov.ae,reem.wang@gov.ae,2025-12-03
aws,arn:aws:iam::111122223333:user/james.smith,james.smith@gov.ae,2026-07-06
azure,james.smith@gov.ae,james.smith@gov.ae,2026-07-06
gcp,user:james.smith@gov.ae,james.smith@gov.ae,2026-07-06
azure,faisal.sharma2@gov.ae,faisal.sharma2@gov.ae,2026-09-05
gcp,user:faisal.sharma2@gov.ae,faisal.sharma2@gov.ae,2026-09-05
aws,arn:aws:iam::111122223333:user/priya.farah,priya.farah@gov.ae,2026-06-29
azure,priya.farah@gov.ae,priya.farah@gov.ae,2026-06-29
gcp,user:priya.farah@gov.ae,priya.farah@gov.ae,2026-06-29
aws,arn:aws:iam::111122223333:user/olivia.rahman,olivia.rahman@gov.ae,2026-08-07
azure,olivia.rahman@gov.ae,olivia.rahman@gov.ae,2026-08-07
gcp,user:olivia.rahman@gov.ae,olivia.rahman@gov.ae,2026-08-07
azure,majid.sharma@gov.ae,majid.sharma@gov.ae,2025-12-20
gcp,user:majid.sharma@gov.ae,majid.sharma@gov.ae,2025-12-20
azure,noah.patel@gov.ae,noah.patel@gov.ae,2026-06-28
gcp,user:noah.patel@gov.ae,noah.patel@gov.ae,2026-06-28
aws,arn:aws:iam::111122223333:user/priya.patel,priya.patel@gov.ae,2026-07-15
gcp,user:priya.patel@gov.ae,priya.patel@gov.ae,2026-07-15
azure,hamdan.nassar2@gov.ae,hamdan.nassar2@gov.ae,2026-08-17
aws,arn:aws:iam::111122223333:user/noah.al.mansoori,noah.almansoori@gov.ae,2026-09-06
gcp,user:noah.almansoori@gov.ae,noah.almansoori@gov.ae,2026-09-06
azure,saeed.smith@gov.ae,saeed.smith@gov.ae,2026-07-24
gcp,user:saeed.smith@gov.ae,saeed.smith@gov.ae,2026-07-24
aws,arn:aws:iam::111122223333:user/faisal.kamal,faisal.kamal@gov.ae,2026-04-26
gcp,user:faisal.kamal@gov.ae,faisal.kamal@gov.ae,2026-04-26
aws,arn:aws:iam::111122223333:user/majid.silva,majid.silva@gov.ae,2026-03-03
azure,majid.silva@gov.ae,majid.silva@gov.ae,2026-03-03
gcp,user:majid.silva@gov.ae,majid.silva@gov.ae,2026-03-03
aws,arn:aws:iam::111122223333:user/sofia.al.suwaidi,sofia.alsuwaidi@gov.ae,2026-06-25
azure,sofia.alsuwaidi@gov.ae,sofia.alsuwaidi@gov.ae,2026-06-25
gcp,user:sofia.alsuwaidi@gov.ae,sofia.alsuwaidi@gov.ae,2026-06-25
